model,event_id,forecast_mean,outcome,brier
claude-haiku-4-5,ao_2018_cilic,0.309,0.0,0.095481
claude-haiku-4-5,ao_2018_federer,0.71,1.0,0.08410000000000002
claude-haiku-4-5,apple_1t_no,0.06800000000000002,0.0,0.004624000000000002
claude-haiku-4-5,apple_1t_yes,0.9289999999999999,1.0,0.005041000000000009
claude-haiku-4-5,arg_2023_massa,0.205,0.0,0.04202499999999999
claude-haiku-4-5,arg_2023_milei,0.663,1.0,0.11356899999999998
claude-haiku-4-5,austrian_2017_hofer,0.38,0.0,0.1444
claude-haiku-4-5,austrian_2017_vdb,0.736,1.0,0.06969600000000001
claude-haiku-4-5,ba_2017_affleck,0.9179999999999999,1.0,0.006724000000000012
claude-haiku-4-5,ba_2017_garfield,0.041999999999999996,0.0,0.0017639999999999997
claude-haiku-4-5,ba_2018_chalamet,0.038,0.0,0.001444
claude-haiku-4-5,ba_2018_oldman,0.054000000000000006,1.0,0.8949159999999999
claude-haiku-4-5,ba_2024_giamatti,0.023,0.0,0.000529
claude-haiku-4-5,ba_2024_murphy,0.711,1.0,0.08352100000000003
claude-haiku-4-5,bact_2017_huppert,0.054000000000000006,0.0,0.0029160000000000006
claude-haiku-4-5,bact_2017_stone,0.759,1.0,0.058080999999999994
claude-haiku-4-5,bact_2018_mcdormand,0.778,1.0,0.04928399999999999
claude-haiku-4-5,bact_2018_ronan,0.07200000000000001,0.0,0.005184000000000001
claude-haiku-4-5,bavaria_2018_csu_largest,0.915,1.0,0.007224999999999994
claude-haiku-4-5,bavaria_2018_greens_largest,0.069,0.0,0.0047610000000000005
claude-haiku-4-5,bd_2017_chazelle,0.8240000000000001,1.0,0.030975999999999976
claude-haiku-4-5,bd_2017_jenkins,0.23399999999999999,0.0,0.05475599999999999
claude-haiku-4-5,bd_2018_deltoro,0.11199999999999999,1.0,0.788544
claude-haiku-4-5,bd_2018_nolan,0.12999999999999998,0.0,0.016899999999999995
claude-haiku-4-5,bd_2024_nolan,0.7249999999999999,1.0,0.07562500000000007
claude-haiku-4-5,bd_2024_scorsese,0.047,0.0,0.002209
claude-haiku-4-5,bitcoin_above_1k_eoy_2017,0.9880000000000001,1.0,0.0001439999999999976
claude-haiku-4-5,box_2017_15b,0.6219999999999999,0.0,0.38688399999999984
claude-haiku-4-5,box_2017_1b,0.7489999999999999,1.0,0.06300100000000006
claude-haiku-4-5,box_2017_2b,0.10899999999999999,0.0,0.011880999999999997
claude-haiku-4-5,box_2017_500m,0.9200000000000002,1.0,0.006399999999999976
claude-haiku-4-5,box_2018_15b,0.711,1.0,0.08352100000000003
claude-haiku-4-5,box_2018_1b,0.732,1.0,0.07182400000000001
claude-haiku-4-5,box_2018_2b,0.183,1.0,0.6674889999999999
claude-haiku-4-5,box_2018_500m,0.9200000000000002,1.0,0.006399999999999976
claude-haiku-4-5,box_2024_15b,0.7,1.0,0.09000000000000002
claude-haiku-4-5,box_2024_1b,0.779,1.0,0.04884099999999999
claude-haiku-4-5,box_2024_2b,0.538,0.0,0.28944400000000003
claude-haiku-4-5,box_2024_500m,0.892,1.0,0.011663999999999997
claude-haiku-4-5,bp_2017_lalaland,0.24700000000000003,0.0,0.061009000000000015
claude-haiku-4-5,bp_2017_moonlight,0.915,1.0,0.007224999999999994
claude-haiku-4-5,bp_2024_anatomy,0.053000000000000005,0.0,0.0028090000000000007
claude-haiku-4-5,bp_2024_oppenheimer,0.813,1.0,0.03496900000000002
claude-haiku-4-5,braz_2018_bolso,0.8019999999999999,1.0,0.039204000000000024
claude-haiku-4-5,braz_2018_haddad,0.16099999999999998,0.0,0.025920999999999993
claude-haiku-4-5,braz_2018_margin_15,0.7809999999999999,0.0,0.6099609999999999
claude-haiku-4-5,braz_2018_margin_25,0.7630000000000001,0.0,0.5821690000000002
claude-haiku-4-5,braz_2018_margin_3,0.8860000000000001,1.0,0.012995999999999973
