model,event_id,forecast_mean,outcome,brier
claude-opus-4-6,ao_2018_cilic,0.29999999999999993,0.0,0.08999999999999996
claude-opus-4-6,ao_2018_federer,0.843,1.0,0.024649000000000008
claude-opus-4-6,apple_1t_no,0.048,0.0,0.002304
claude-opus-4-6,apple_1t_yes,0.9700000000000001,1.0,0.000899999999999995
claude-opus-4-6,arg_2023_massa,0.05,0.0,0.0025000000000000005
claude-opus-4-6,arg_2023_milei,0.9700000000000001,1.0,0.000899999999999995
claude-opus-4-6,austrian_2017_hofer,0.12000000000000002,0.0,0.014400000000000005
claude-opus-4-6,austrian_2017_vdb,0.9519999999999997,1.0,0.002304000000000025
claude-opus-4-6,ba_2017_affleck,0.9499999999999998,1.0,0.0025000000000000157
claude-opus-4-6,ba_2017_garfield,0.030000000000000006,0.0,0.0009000000000000003
claude-opus-4-6,ba_2018_chalamet,0.05,0.0,0.0025000000000000005
claude-opus-4-6,ba_2018_oldman,0.9700000000000001,1.0,0.000899999999999995
claude-opus-4-6,ba_2024_giamatti,0.12000000000000002,0.0,0.014400000000000005
claude-opus-4-6,ba_2024_murphy,0.9499999999999998,1.0,0.0025000000000000157
claude-opus-4-6,bact_2017_huppert,0.05,0.0,0.0025000000000000005
claude-opus-4-6,bact_2017_stone,0.9499999999999998,1.0,0.0025000000000000157
claude-opus-4-6,bact_2018_mcdormand,0.9200000000000002,1.0,0.006399999999999976
claude-opus-4-6,bact_2018_ronan,0.05,0.0,0.0025000000000000005
claude-opus-4-6,bavaria_2018_csu_largest,0.9700000000000001,1.0,0.000899999999999995
claude-opus-4-6,bavaria_2018_greens_largest,0.036000000000000004,0.0,0.0012960000000000003
claude-opus-4-6,bd_2017_chazelle,0.9700000000000001,1.0,0.000899999999999995
claude-opus-4-6,bd_2017_jenkins,0.05,0.0,0.0025000000000000005
claude-opus-4-6,bd_2018_deltoro,0.9200000000000002,1.0,0.006399999999999976
claude-opus-4-6,bd_2018_nolan,0.362,0.0,0.131044
claude-opus-4-6,bd_2024_nolan,0.9499999999999998,1.0,0.0025000000000000157
claude-opus-4-6,bd_2024_scorsese,0.030000000000000006,0.0,0.0009000000000000003
claude-opus-4-6,bitcoin_above_1k_eoy_2017,0.9860000000000001,1.0,0.00019599999999999723
claude-opus-4-6,box_2017_15b,0.716,0.0,0.512656
claude-opus-4-6,box_2017_1b,0.9499999999999998,1.0,0.0025000000000000157
claude-opus-4-6,box_2017_2b,0.12600000000000003,0.0,0.015876000000000008
claude-opus-4-6,box_2017_500m,0.974,1.0,0.0006760000000000013
claude-opus-4-6,box_2018_15b,0.884,1.0,0.013455999999999997
claude-opus-4-6,box_2018_1b,0.9700000000000001,1.0,0.000899999999999995
claude-opus-4-6,box_2018_2b,0.554,1.0,0.19891599999999995
claude-opus-4-6,box_2018_500m,0.9730000000000001,1.0,0.0007289999999999953
claude-opus-4-6,box_2024_15b,0.72,1.0,0.07840000000000001
claude-opus-4-6,box_2024_1b,0.9700000000000001,1.0,0.000899999999999995
claude-opus-4-6,box_2024_2b,0.141,0.0,0.019880999999999996
claude-opus-4-6,box_2024_500m,0.99,1.0,0.00010000000000000018
claude-opus-4-6,bp_2017_lalaland,0.527,0.0,0.277729
claude-opus-4-6,bp_2017_moonlight,0.55,1.0,0.20249999999999996
claude-opus-4-6,bp_2024_anatomy,0.019999999999999997,0.0,0.00039999999999999986
claude-opus-4-6,bp_2024_oppenheimer,0.9200000000000002,1.0,0.006399999999999976
claude-opus-4-6,braz_2018_bolso,0.9700000000000001,1.0,0.000899999999999995
claude-opus-4-6,braz_2018_haddad,0.05,0.0,0.0025000000000000005
claude-opus-4-6,braz_2018_margin_15,0.16,0.0,0.0256
claude-opus-4-6,braz_2018_margin_25,0.026000000000000002,0.0,0.0006760000000000002
claude-opus-4-6,braz_2018_margin_3,0.9599999999999997,1.0,0.0016000000000000207
claude-opus-4-6,braz_2018_margin_8,0.8230000000000001,1.0,0.031328999999999975
claude-opus-4-6,cake_2018_baker,0.9499999999999998,1.0,0.0025000000000000157
claude-opus-4-6,cake_2018_couple,0.088,0.0,0.007743999999999999
claude-opus-4-6,carp_2018_no_warrant,0.068,0.0,0.0046240000000000005
claude-opus-4-6,carp_2018_warrant,0.8720000000000001,1.0,0.01638399999999997
claude-opus-4-6,cat_legal_no_recognition,0.9700000000000001,1.0,0.000899999999999995
claude-opus-4-6,cat_legal_yes,0.0020000000000000005,0.0,4.0000000000000015e-06
claude-opus-4-6,conj_amlo_AND_bolso,0.923,1.0,0.005928999999999993
claude-opus-4-6,conj_astros_AND_patriots,0.07999999999999999,0.0,0.006399999999999998
claude-opus-4-6,conj_bolso_AND_haddad,0.0,0.0,0.0
claude-opus-4-6,conj_btc20k_AND_dow25k,0.5700000000000001,0.0,0.3249000000000001
claude-opus-4-6,conj_btc5k_AND_eth500,0.5879999999999999,1.0,0.16974400000000012
claude-opus-4-6,conj_comey_AND_mueller,0.9700000000000001,1.0,0.000899999999999995
claude-opus-4-6,conj_doug_AND_eagles,0.9259999999999999,1.0,0.0054760000000000095
claude-opus-4-6,conj_eclipse_AND_cassini,0.9700000000000001,1.0,0.000899999999999995
claude-opus-4-6,conj_eth1k_AND_btc20k,0.6659999999999999,0.0,0.4435559999999999
claude-opus-4-6,conj_eth500_AND_btc5k,0.985,1.0,0.0002250000000000004
claude-opus-4-6,conj_eth700_AND_btc10k,0.9730000000000001,1.0,0.0007289999999999953
claude-opus-4-6,conj_federer17_AND_djok18,0.298,1.0,0.49280399999999996
claude-opus-4-6,conj_france_wc_AND_eagles_sb_2018,1.0,1.0,0.0
claude-opus-4-6,conj_france_wc_AND_macron,1.0,1.0,0.0
claude-opus-4-6,conj_harvey_AND_irma,0.9700000000000001,1.0,0.000899999999999995
claude-opus-4-6,conj_kim_AND_iran,0.192,1.0,0.6528640000000001
claude-opus-4-6,conj_liverpool_AND_real_ucl,0.0,0.0,0.0
claude-opus-4-6,conj_macron_AND_cdu_2017,0.9000000000000001,1.0,0.009999999999999974
claude-opus-4-6,conj_macron_AND_pats,0.0,0.0,0.0
claude-opus-4-6,conj_milei_AND_trump2024,1.0,1.0,0.0
claude-opus-4-6,conj_milei_AND_uk_labour,0.9499999999999998,1.0,0.0025000000000000157
claude-opus-4-6,conj_nk_AND_catalonia,0.08,1.0,0.8464
claude-opus-4-6,conj_nk_AND_iran,0.07999999999999999,1.0,0.8464
claude-opus-4-6,conj_tax_AND_doug,0.9499999999999998,1.0,0.0025000000000000157
claude-opus-4-6,conj_tess_AND_kim,0.8019999999999999,1.0,0.039204000000000024
claude-opus-4-6,conj_trump2024_AND_eo_signed_2017,0.9700000000000001,1.0,0.000899999999999995
claude-opus-4-6,conj_trump2024_AND_uk_labour,0.602,1.0,0.15840400000000002
claude-opus-4-6,conj_trump_AND_harris_2024,0.0,0.0,0.0
claude-opus-4-6,conj_warriors_2017_AND_2018,0.7629999999999999,1.0,0.056169000000000045
claude-opus-4-6,cpi_2017_above_1,0.9700000000000001,1.0,0.000899999999999995
claude-opus-4-6,cpi_2017_above_2,0.826,1.0,0.030276000000000015
claude-opus-4-6,cpi_2017_above_3,0.11199999999999999,0.0,0.012543999999999998
claude-opus-4-6,cpi_2017_above_4,0.030000000000000006,0.0,0.0009000000000000003
claude-opus-4-6,czech_2017_ano,0.9499999999999998,1.0,0.0025000000000000157
claude-opus-4-6,czech_2017_civic,0.11200000000000002,0.0,0.012544000000000003
claude-opus-4-6,dow_close_20k_eoy_2017,0.9720000000000001,1.0,0.0007839999999999952
claude-opus-4-6,eagles_wins_atleast_1_2017,1.0,1.0,0.0
claude-opus-4-6,eth_above_200_eoy_2017,0.9730000000000001,1.0,0.0007289999999999953
claude-opus-4-6,fo_2017_nadal,0.85,1.0,0.022500000000000006
claude-opus-4-6,fo_2017_wawrinka,0.07999999999999999,0.0,0.006399999999999998
claude-opus-4-6,fr_2024_nfp_seats,0.748,1.0,0.063504
claude-opus-4-6,fr_2024_rn_seats,0.55,0.0,0.30250000000000005
claude-opus-4-6,fr_pres_2017_margin_10,0.9700000000000001,1.0,0.000899999999999995
claude-opus-4-6,fr_pres_2017_margin_20,0.9200000000000002,1.0,0.006399999999999976
claude-opus-4-6,fr_pres_2017_margin_3,0.9700000000000001,1.0,0.000899999999999995
claude-opus-4-6,fr_pres_2017_margin_35,0.127,0.0,0.016129
claude-opus-4-6,france_wc2018_advances_group,0.9700000000000001,1.0,0.000899999999999995
claude-opus-4-6,ftse_8000_no,0.923,1.0,0.005928999999999993
claude-opus-4-6,ftse_8000_yes,0.05600000000000001,0.0,0.0031360000000000008
claude-opus-4-6,italy_qualifies_wc2018,0.35,0.0,0.12249999999999998
claude-opus-4-6,janus_2018_def,0.046,0.0,0.002116
claude-opus-4-6,janus_2018_pl,0.9700000000000001,1.0,0.000899999999999995
claude-opus-4-6,kenya_2017_kenyatta,0.9200000000000002,1.0,0.006399999999999976
claude-opus-4-6,kenya_2017_odinga,0.07999999999999999,0.0,0.006399999999999998
claude-opus-4-6,ltc_300_no,0.47000000000000003,0.0,0.22090000000000004
claude-opus-4-6,ltc_300_yes,0.9099999999999999,1.0,0.008100000000000015
claude-opus-4-6,macron_runoff_candidate_2017,0.9200000000000002,1.0,0.006399999999999976
claude-opus-4-6,mex_2018_amlo,0.9499999999999998,1.0,0.0025000000000000157
claude-opus-4-6,mex_2018_anaya,0.077,0.0,0.005929
claude-opus-4-6,mex_2018_margin_15,0.9700000000000001,1.0,0.000899999999999995
claude-opus-4-6,mex_2018_margin_25,0.9680000000000002,1.0,0.0010239999999999876
claude-opus-4-6,mex_2018_margin_40,0.05,0.0,0.0025000000000000005
claude-opus-4-6,mex_2018_margin_5,0.9700000000000001,1.0,0.000899999999999995
claude-opus-4-6,mueller_continues_eoy_2018,0.9700000000000001,1.0,0.000899999999999995
claude-opus-4-6,nba2017_games_4,0.9700000000000001,1.0,0.000899999999999995
claude-opus-4-6,nba2017_games_4_sweep,0.72,0.0,0.5184
claude-opus-4-6,nba2017_games_4_sweep_strict,0.08399999999999999,0.0,0.007055999999999999
claude-opus-4-6,nba2017_games_5,0.8219999999999998,1.0,0.03168400000000006
claude-opus-4-6,nba_2017_cavs,0.35,0.0,0.12249999999999998
claude-opus-4-6,nba_2017_gsw,0.9680000000000002,1.0,0.0010239999999999876
claude-opus-4-6,nba_mvp_2018_harden,0.9259999999999999,1.0,0.0054760000000000095
claude-opus-4-6,nba_mvp_2018_lebron,0.079,0.0,0.006241
claude-opus-4-6,nfl_mvp_2017_brady,0.32999999999999996,1.0,0.4489000000000001
claude-opus-4-6,nfl_mvp_2017_wentz,0.048,0.0,0.002304
claude-opus-4-6,nl_2017_pvv,0.55,0.0,0.30250000000000005
claude-opus-4-6,nl_2017_vvd,0.8800000000000001,1.0,0.014399999999999972
claude-opus-4-6,no_2017_conservative,0.55,0.0,0.30250000000000005
claude-opus-4-6,no_2017_labour,0.8,1.0,0.03999999999999998
claude-opus-4-6,nobecon_2017_shiller,0.011,0.0,0.00012099999999999999
claude-opus-4-6,nobecon_2017_thaler,0.9700000000000001,1.0,0.000899999999999995
claude-opus-4-6,nobecon_2018_acemoglu,0.030000000000000006,0.0,0.0009000000000000003
claude-opus-4-6,nobecon_2018_nordhaus,1.0,1.0,0.0
claude-opus-4-6,noblit_2017_atwood,0.05,0.0,0.0025000000000000005
claude-opus-4-6,noblit_2017_ishiguro,0.954,1.0,0.0021160000000000037
claude-opus-4-6,nobpeace_2024_hidankyo,0.9700000000000001,1.0,0.000899999999999995
claude-opus-4-6,nobpeace_2024_unrwa,0.03300000000000001,0.0,0.0010890000000000006
claude-opus-4-6,opp_noms_11,0.85,1.0,0.022500000000000006
claude-opus-4-6,opp_noms_14,0.22999999999999998,0.0,0.05289999999999999
claude-opus-4-6,opp_noms_5,0.99,1.0,0.00010000000000000018
claude-opus-4-6,opp_noms_8,0.9700000000000001,1.0,0.000899999999999995
claude-opus-4-6,pak_2018_pmln,0.29999999999999993,0.0,0.08999999999999996
claude-opus-4-6,pak_2018_pti,0.9200000000000002,1.0,0.006399999999999976
claude-opus-4-6,paspa_2018_strike,0.9700000000000001,1.0,0.000899999999999995
