model,event_id,forecast_mean,outcome,brier
claude-sonnet-4-6,ao_2018_cilic,0.07999999999999999,0.0,0.006399999999999998
claude-sonnet-4-6,ao_2018_federer,0.6359999999999999,1.0,0.13249600000000009
claude-sonnet-4-6,apple_1t_no,0.05800000000000001,0.0,0.003364000000000001
claude-sonnet-4-6,apple_1t_yes,0.8710000000000001,1.0,0.016640999999999972
claude-sonnet-4-6,arg_2023_massa,0.38,0.0,0.1444
claude-sonnet-4-6,arg_2023_milei,0.648,1.0,0.12390399999999999
claude-sonnet-4-6,austrian_2017_hofer,0.45600000000000007,0.0,0.20793600000000007
claude-sonnet-4-6,austrian_2017_vdb,0.8450000000000001,1.0,0.024024999999999973
claude-sonnet-4-6,ba_2017_affleck,0.8399999999999999,1.0,0.025600000000000046
claude-sonnet-4-6,ba_2017_garfield,0.06500000000000002,0.0,0.004225000000000002
claude-sonnet-4-6,ba_2018_chalamet,0.091,0.0,0.008281
claude-sonnet-4-6,ba_2018_oldman,0.841,1.0,0.02528100000000001
claude-sonnet-4-6,ba_2024_giamatti,0.32999999999999996,0.0,0.10889999999999997
claude-sonnet-4-6,ba_2024_murphy,0.85,1.0,0.022500000000000006
claude-sonnet-4-6,bact_2017_huppert,0.10300000000000001,0.0,0.010609000000000002
claude-sonnet-4-6,bact_2017_stone,0.7950000000000002,1.0,0.04202499999999994
claude-sonnet-4-6,bact_2018_mcdormand,0.82,1.0,0.03240000000000002
claude-sonnet-4-6,bact_2018_ronan,0.14100000000000001,0.0,0.019881000000000003
claude-sonnet-4-6,bavaria_2018_csu_largest,0.778,1.0,0.04928399999999999
claude-sonnet-4-6,bavaria_2018_greens_largest,0.07700000000000001,0.0,0.005929000000000002
claude-sonnet-4-6,bd_2017_chazelle,0.867,1.0,0.017689000000000003
claude-sonnet-4-6,bd_2017_jenkins,0.5599999999999998,0.0,0.3135999999999998
claude-sonnet-4-6,bd_2018_deltoro,0.557,1.0,0.19624899999999995
claude-sonnet-4-6,bd_2018_nolan,0.05,0.0,0.0025000000000000005
claude-sonnet-4-6,bd_2024_nolan,0.7779999999999999,1.0,0.049284000000000036
claude-sonnet-4-6,bd_2024_scorsese,0.262,0.0,0.06864400000000001
claude-sonnet-4-6,bitcoin_above_1k_eoy_2017,0.9700000000000001,1.0,0.000899999999999995
claude-sonnet-4-6,box_2017_15b,0.7199999999999999,0.0,0.5183999999999997
claude-sonnet-4-6,box_2017_1b,0.932,1.0,0.004623999999999993
claude-sonnet-4-6,box_2017_2b,0.5,0.0,0.25
claude-sonnet-4-6,box_2017_500m,0.9700000000000001,1.0,0.000899999999999995
claude-sonnet-4-6,box_2018_15b,0.806,1.0,0.03763599999999998
claude-sonnet-4-6,box_2018_1b,0.9700000000000001,1.0,0.000899999999999995
claude-sonnet-4-6,box_2018_2b,0.6059999999999999,1.0,0.1552360000000001
claude-sonnet-4-6,box_2018_500m,0.9700000000000001,1.0,0.000899999999999995
claude-sonnet-4-6,box_2024_15b,0.72,1.0,0.07840000000000001
claude-sonnet-4-6,box_2024_1b,0.95,1.0,0.0025000000000000044
claude-sonnet-4-6,box_2024_2b,0.387,0.0,0.149769
claude-sonnet-4-6,box_2024_500m,0.974,1.0,0.0006760000000000013
claude-sonnet-4-6,bp_2017_lalaland,0.45200000000000007,0.0,0.20430400000000007
claude-sonnet-4-6,bp_2017_moonlight,0.359,1.0,0.410881
claude-sonnet-4-6,bp_2024_anatomy,0.06800000000000002,0.0,0.004624000000000002
claude-sonnet-4-6,bp_2024_oppenheimer,0.835,1.0,0.027225000000000013
claude-sonnet-4-6,braz_2018_bolso,0.6839999999999999,1.0,0.09985600000000004
claude-sonnet-4-6,braz_2018_haddad,0.305,0.0,0.093025
claude-sonnet-4-6,braz_2018_margin_15,0.5239600000000001,0.0,0.2745340816000001
claude-sonnet-4-6,braz_2018_margin_25,0.3251666666666667,0.0,0.10573336111111115
claude-sonnet-4-6,braz_2018_margin_3,0.8230000000000001,1.0,0.031328999999999975
claude-sonnet-4-6,braz_2018_margin_8,0.4908777777777778,1.0,0.2592054371604939
claude-sonnet-4-6,cake_2018_baker,0.8469999999999999,1.0,0.02340900000000004
claude-sonnet-4-6,cake_2018_couple,0.34500000000000003,0.0,0.11902500000000002
claude-sonnet-4-6,carp_2018_no_warrant,0.185,0.0,0.034225
claude-sonnet-4-6,carp_2018_warrant,0.72,1.0,0.07840000000000001
claude-sonnet-4-6,cat_legal_no_recognition,0.9700000000000001,1.0,0.000899999999999995
claude-sonnet-4-6,cat_legal_yes,0.019999999999999997,0.0,0.00039999999999999986
claude-sonnet-4-6,conj_amlo_AND_bolso,0.8800000000000001,1.0,0.014399999999999972
claude-sonnet-4-6,conj_astros_AND_patriots,0.5,0.0,0.25
claude-sonnet-4-6,conj_bolso_AND_haddad,0.0,0.0,0.0
claude-sonnet-4-6,conj_btc20k_AND_dow25k,0.03899999999999999,0.0,0.0015209999999999993
claude-sonnet-4-6,conj_btc5k_AND_eth500,0.841,1.0,0.02528100000000001
claude-sonnet-4-6,conj_comey_AND_mueller,0.9519999999999997,1.0,0.002304000000000025
claude-sonnet-4-6,conj_doug_AND_eagles,0.5,1.0,0.25
claude-sonnet-4-6,conj_eclipse_AND_cassini,0.892,1.0,0.011663999999999997
claude-sonnet-4-6,conj_eth1k_AND_btc20k,0.128,0.0,0.016384
claude-sonnet-4-6,conj_eth500_AND_btc5k,0.8640000000000001,1.0,0.01849599999999997
claude-sonnet-4-6,conj_eth700_AND_btc10k,0.7140000000000001,1.0,0.08179599999999995
claude-sonnet-4-6,conj_federer17_AND_djok18,0.5,1.0,0.25
claude-sonnet-4-6,conj_france_wc_AND_eagles_sb_2018,0.5,1.0,0.25
claude-sonnet-4-6,conj_france_wc_AND_macron,0.5650000000000001,1.0,0.18922499999999995
claude-sonnet-4-6,conj_harvey_AND_irma,0.8309999999999998,1.0,0.02856100000000005
claude-sonnet-4-6,conj_kim_AND_iran,0.198,1.0,0.6432040000000001
claude-sonnet-4-6,conj_liverpool_AND_real_ucl,0.0,0.0,0.0
claude-sonnet-4-6,conj_macron_AND_cdu_2017,0.826,1.0,0.030276000000000015
claude-sonnet-4-6,conj_macron_AND_pats,1.0,0.0,1.0
claude-sonnet-4-6,conj_milei_AND_trump2024,0.5,1.0,0.25
claude-sonnet-4-6,conj_milei_AND_uk_labour,0.9466666666666667,1.0,0.0028444444444444454
claude-sonnet-4-6,conj_nk_AND_catalonia,1.0,1.0,0.0
claude-sonnet-4-6,conj_nk_AND_iran,1.0,1.0,0.0
claude-sonnet-4-6,conj_tax_AND_doug,0.22,1.0,0.6084
claude-sonnet-4-6,conj_tess_AND_kim,0.6022222222222222,1.0,0.15822716049382718
claude-sonnet-4-6,conj_trump2024_AND_eo_signed_2017,0.53,1.0,0.22089999999999999
claude-sonnet-4-6,conj_trump2024_AND_uk_labour,0.717,1.0,0.08008900000000002
claude-sonnet-4-6,conj_trump_AND_harris_2024,0.0,0.0,0.0
claude-sonnet-4-6,conj_warriors_2017_AND_2018,0.5166666666666667,1.0,0.23361111111111105
