model,event_id,forecast_mean,outcome,brier
gemma-2-9b,ao_2018_cilic,0.163,0.0,0.026569000000000002
gemma-2-9b,ao_2018_federer,0.705,1.0,0.08702500000000002
gemma-2-9b,apple_1t_no,0.6318999999999999,0.0,0.39929760999999986
gemma-2-9b,apple_1t_yes,0.79308,1.0,0.042815886399999996
gemma-2-9b,arg_2023_massa,0.5619,0.0,0.31573160999999994
gemma-2-9b,arg_2023_milei,0.5135,1.0,0.23668225000000004
gemma-2-9b,austrian_2017_hofer,0.4879999999999999,0.0,0.23814399999999988
gemma-2-9b,austrian_2017_vdb,0.8251999999999999,1.0,0.030555040000000023
gemma-2-9b,ba_2017_affleck,0.08780000000000002,1.0,0.8321088400000001
gemma-2-9b,ba_2017_garfield,0.037,0.0,0.0013689999999999998
gemma-2-9b,ba_2018_chalamet,0.909,0.0,0.826281
gemma-2-9b,ba_2018_oldman,0.009,1.0,0.982081
gemma-2-9b,ba_2024_giamatti,0.0465,0.0,0.00216225
gemma-2-9b,ba_2024_murphy,0.172,1.0,0.6855840000000001
gemma-2-9b,bact_2017_huppert,0.007000000000000001,0.0,4.900000000000001e-05
gemma-2-9b,bact_2017_stone,0.34792,1.0,0.4252083264
gemma-2-9b,bact_2018_mcdormand,0.7609,1.0,0.057168809999999994
gemma-2-9b,bact_2018_ronan,0.092,0.0,0.008464
gemma-2-9b,bavaria_2018_csu_largest,0.29500000000000004,1.0,0.49702499999999994
gemma-2-9b,bavaria_2018_greens_largest,0.0,0.0,0.0
gemma-2-9b,bd_2017_chazelle,0.6420000000000001,1.0,0.12816399999999992
gemma-2-9b,bd_2017_jenkins,0.0195,0.0,0.00038025
gemma-2-9b,bd_2018_deltoro,0.253,1.0,0.558009
gemma-2-9b,bd_2018_nolan,0.0,0.0,0.0
gemma-2-9b,bd_2024_nolan,0.16799999999999998,1.0,0.6922240000000002
gemma-2-9b,bd_2024_scorsese,0.16099999999999998,0.0,0.025920999999999993
gemma-2-9b,bitcoin_above_1k_eoy_2017,0.9438694,1.0,0.0031506442563600033
gemma-2-9b,box_2017_15b,0.595,0.0,0.354025
gemma-2-9b,box_2017_1b,0.8480000000000001,1.0,0.023103999999999975
gemma-2-9b,box_2017_2b,0.258,0.0,0.066564
gemma-2-9b,box_2017_500m,0.8160000000000001,1.0,0.033855999999999976
gemma-2-9b,box_2018_15b,0.097,1.0,0.815409
gemma-2-9b,box_2018_1b,0.18977,1.0,0.6564726529
gemma-2-9b,box_2018_2b,0.0615,1.0,0.88078225
gemma-2-9b,box_2018_500m,0.40099999999999997,1.0,0.358801
gemma-2-9b,box_2024_15b,0.29769999999999996,1.0,0.49322529000000004
gemma-2-9b,box_2024_1b,0.45,1.0,0.30250000000000005
gemma-2-9b,box_2024_2b,0.2183,0.0,0.04765489
gemma-2-9b,box_2024_500m,0.651,1.0,0.12180099999999998
gemma-2-9b,bp_2017_lalaland,0.0505,0.0,0.0025502500000000004
gemma-2-9b,bp_2017_moonlight,0.037101,1.0,0.9271744842009999
gemma-2-9b,bp_2024_anatomy,0.119,0.0,0.014160999999999998
gemma-2-9b,bp_2024_oppenheimer,0.20600000000000002,1.0,0.6304360000000001
gemma-2-9b,braz_2018_bolso,0.5780000000000001,1.0,0.17808399999999994
gemma-2-9b,braz_2018_haddad,0.44989999999999997,0.0,0.20241000999999997
gemma-2-9b,braz_2018_margin_15,0.14609999999999998,0.0,0.021345209999999993
gemma-2-9b,braz_2018_margin_25,0.039200000000000006,0.0,0.0015366400000000004
gemma-2-9b,braz_2018_margin_3,0.5222,1.0,0.22829284
gemma-2-9b,braz_2018_margin_8,0.38778000000000007,1.0,0.3748133284
gemma-2-9b,cake_2018_baker,0.00183,1.0,0.9963433489
gemma-2-9b,cake_2018_couple,0.39881,0.0,0.1590494161
gemma-2-9b,carp_2018_no_warrant,0.421,0.0,0.17724099999999998
gemma-2-9b,carp_2018_warrant,0.8299999999999998,1.0,0.02890000000000005
gemma-2-9b,cat_legal_no_recognition,0.8979788988900002,1.0,0.010408305071696811
gemma-2-9b,cat_legal_yes,0.02,0.0,0.0004
gemma-2-9b,conj_amlo_AND_bolso,0.999,1.0,1.0000000000000019e-06
gemma-2-9b,conj_astros_AND_dodgers_ws_2017,0.03535,0.0,0.0012496224999999999
gemma-2-9b,conj_astros_AND_patriots,0.0046002000000000005,0.0,2.1161840040000003e-05
gemma-2-9b,conj_bolso_AND_haddad,0.007000000000000001,0.0,4.900000000000001e-05
gemma-2-9b,conj_btc20k_AND_dow25k,0.06328,0.0,0.0040043584000000005
gemma-2-9b,conj_btc5k_AND_eth500,0.6131000000000001,1.0,0.14969160999999992
gemma-2-9b,conj_btc_10k_AND_dow_25k_eoy_2017,0.0237,0.0,0.00056169
gemma-2-9b,conj_btc_10k_AND_eth_500_eoy_2017,0.3277,1.0,0.45198729
gemma-2-9b,conj_btc_20k_AND_eth_1k_eoy_2017,0.36629999999999996,0.0,0.13417568999999996
gemma-2-9b,conj_btc_2k_AND_5k_2017,0.4998,1.0,0.25020003999999996
gemma-2-9b,conj_btc_5k_AND_10k_2017,0.1336,1.0,0.7506489600000001
gemma-2-9b,conj_comey_AND_mueller,0.29100000000000004,1.0,0.5026809999999999
gemma-2-9b,conj_doug_AND_eagles,0.003911,1.0,0.992193295921
gemma-2-9b,conj_eagles_AND_pats_sb_2018,0.027600000000000003,0.0,0.0007617600000000002
gemma-2-9b,conj_eclipse_AND_cassini,0.357,1.0,0.413449
gemma-2-9b,conj_eth1k_AND_btc20k,0.0659,0.0,0.00434281
gemma-2-9b,conj_eth500_AND_btc5k,0.09690677777777779,1.0,0.815577368023716
gemma-2-9b,conj_eth700_AND_btc10k,0.1598,1.0,0.7059360400000001
gemma-2-9b,conj_federer17_AND_djok18,0.0011099999999999999,1.0,0.9977812321000001
gemma-2-9b,conj_france_wc_AND_eagles_sb_2018,0.0026049999999999997,1.0,0.9947967860250001
gemma-2-9b,conj_france_wc_AND_macron,0.041260000000000005,1.0,0.9191823876
gemma-2-9b,conj_france_wc_AND_real_ucl_2018,0.036950000000000004,1.0,0.9274653024999999
gemma-2-9b,conj_harvey_AND_irma,1.01e-05,1.0,0.9999798001020099
gemma-2-9b,conj_kim_AND_iran,0.00013000000000000002,1.0,0.9997400169
gemma-2-9b,conj_liverpool_AND_real_ucl,0.04,0.0,0.0016
gemma-2-9b,conj_macron_AND_cdu_2017,0.09506,1.0,0.8189164036
gemma-2-9b,conj_macron_AND_lepen_2017,0.0,0.0,0.0
gemma-2-9b,conj_macron_AND_merkel_2017,0.35692,1.0,0.41355188639999996
gemma-2-9b,conj_macron_AND_pats,0.06656229999999999,0.0,0.004430539781289999
gemma-2-9b,conj_milei_AND_trump2024,0.07914999999999998,1.0,0.8479647225000001
gemma-2-9b,conj_milei_AND_uk_labour,0.06022000000000001,1.0,0.8831864483999999
gemma-2-9b,conj_nk_AND_catalonia,0.05650000000000001,1.0,0.89019225
gemma-2-9b,conj_nk_AND_iran,0.0395,1.0,0.9225602500000001
gemma-2-9b,conj_tax_AND_doug,0.18385571428571398,1.0,0.666091495104082
gemma-2-9b,conj_tess_AND_kim,0.1654,1.0,0.69655716
gemma-2-9b,conj_trump2024_AND_eo_signed_2017,0.325667,1.0,0.4547249948890001
gemma-2-9b,conj_trump2024_AND_uk_labour,0.03794,1.0,0.9255594436000001
gemma-2-9b,conj_trump_AND_harris_2024,0.00029805,0.0,8.88338025e-08
gemma-2-9b,conj_warriors_2017_AND_2018,0.00621,1.0,0.9876185640999999
gemma-2-9b,cpi_2017_above_1,0.8539999999999999,1.0,0.021316000000000036
gemma-2-9b,cpi_2017_above_2,0.4640099999999999,1.0,0.2872852801000001
gemma-2-9b,cpi_2017_above_3,0.33490000000000003,0.0,0.11215801000000002
gemma-2-9b,cpi_2017_above_4,0.5957600000000001,0.0,0.35492997760000006
gemma-2-9b,czech_2017_ano,0.0,1.0,1.0
gemma-2-9b,czech_2017_civic,0.399,0.0,0.159201
