model,event_id,forecast_mean,outcome,brier
gpt-4o,ao_2018_cilic,0.11499999999999999,0.0,0.013224999999999997
gpt-4o,ao_2018_federer,0.9129999999999999,1.0,0.007569000000000013
gpt-4o,apple_1t_no,0.261,0.0,0.068121
gpt-4o,apple_1t_yes,0.9079999999999998,1.0,0.008464000000000036
gpt-4o,arg_2023_massa,0.497,0.0,0.247009
gpt-4o,arg_2023_milei,0.5850000000000002,1.0,0.17222499999999985
gpt-4o,austrian_2017_hofer,0.378,0.0,0.142884
gpt-4o,austrian_2017_vdb,0.8879999999999999,1.0,0.012544000000000022
gpt-4o,ba_2017_affleck,0.91875,1.0,0.006601562500000008
gpt-4o,ba_2017_garfield,0.07571428571428572,0.0,0.005732653061224491
gpt-4o,ba_2018_chalamet,0.016666666666666666,0.0,0.0002777777777777778
gpt-4o,ba_2018_oldman,0.95,1.0,0.0025000000000000044
gpt-4o,ba_2024_giamatti,0.141,0.0,0.019880999999999996
gpt-4o,ba_2024_murphy,0.30300000000000005,1.0,0.48580899999999994
gpt-4o,bact_2017_huppert,0.1642857142857143,0.0,0.026989795918367355
gpt-4o,bact_2017_stone,0.9214285714285715,1.0,0.006173469387755093
gpt-4o,bact_2018_mcdormand,0.942857142857143,1.0,0.003265306122448969
gpt-4o,bact_2018_ronan,0.2714285714285714,0.0,0.0736734693877551
gpt-4o,bavaria_2018_csu_largest,0.9299999999999999,1.0,0.0049000000000000085
gpt-4o,bavaria_2018_greens_largest,0.05,0.0,0.0025000000000000005
gpt-4o,bd_2017_chazelle,0.9055555555555554,1.0,0.008919753086419773
gpt-4o,bd_2017_jenkins,0.4928571428571429,0.0,0.24290816326530615
gpt-4o,bd_2018_deltoro,0.8799999999999999,1.0,0.014400000000000026
gpt-4o,bd_2018_nolan,0.14714285714285716,0.0,0.02165102040816327
gpt-4o,bd_2024_nolan,0.3555555555555555,1.0,0.4153086419753087
gpt-4o,bd_2024_scorsese,0.305,0.0,0.093025
gpt-4o,bitcoin_above_1k_eoy_2017,1.0,1.0,0.0
gpt-4o,box_2017_15b,0.8928571428571429,0.0,0.7971938775510204
gpt-4o,box_2017_1b,0.9,1.0,0.009999999999999995
gpt-4o,box_2017_2b,0.48888888888888893,0.0,0.2390123456790124
gpt-4o,box_2017_500m,0.9199999999999999,1.0,0.006400000000000012
gpt-4o,box_2018_15b,0.9312499999999999,1.0,0.004726562500000012
gpt-4o,box_2018_1b,0.9342857142857143,1.0,0.004318367346938777
gpt-4o,box_2018_2b,0.8214285714285714,1.0,0.03188775510204083
gpt-4o,box_2018_500m,0.985,1.0,0.0002250000000000004
gpt-4o,box_2024_15b,0.677,1.0,0.10432899999999996
gpt-4o,box_2024_1b,0.8049999999999999,1.0,0.038025000000000024
gpt-4o,box_2024_2b,0.403,0.0,0.16240900000000003
gpt-4o,box_2024_500m,0.827,1.0,0.029929000000000015
gpt-4o,bp_2017_lalaland,0.16285714285714287,0.0,0.02652244897959184
gpt-4o,bp_2017_moonlight,0.9650000000000001,1.0,0.0012249999999999943
gpt-4o,bp_2024_anatomy,0.16199999999999998,0.0,0.026243999999999993
gpt-4o,bp_2024_oppenheimer,0.313,1.0,0.4719690000000001
gpt-4o,braz_2018_bolso,0.933,1.0,0.004488999999999993
gpt-4o,braz_2018_haddad,0.182,0.0,0.033124
gpt-4o,braz_2018_margin_15,0.58,0.0,0.3364
gpt-4o,braz_2018_margin_25,0.045,0.0,0.002025
gpt-4o,braz_2018_margin_3,0.9369999999999999,1.0,0.003969000000000007
gpt-4o,braz_2018_margin_8,0.884,1.0,0.013455999999999997
