model,event_id,forecast_mean,outcome,brier
mistral-7b-v0.3,ao_2018_cilic,0.018408142608219998,0.0,0.00033885971428456455
mistral-7b-v0.3,ao_2018_federer,0.052257768,1.0,0.8982153383163417
mistral-7b-v0.3,apple_1t_no,0.671,0.0,0.45024100000000006
mistral-7b-v0.3,apple_1t_yes,0.637,1.0,0.131769
mistral-7b-v0.3,arg_2023_massa,0.501,0.0,0.251001
mistral-7b-v0.3,arg_2023_milei,0.354,1.0,0.417316
mistral-7b-v0.3,austrian_2017_hofer,0.488,0.0,0.238144
mistral-7b-v0.3,austrian_2017_vdb,0.7150000000000001,1.0,0.08122499999999995
mistral-7b-v0.3,ba_2017_affleck,0.14085999999999999,1.0,0.7381215396
mistral-7b-v0.3,ba_2017_garfield,0.00040232,0.0,1.618613824e-07
mistral-7b-v0.3,ba_2018_chalamet,0.097,0.0,0.009409
mistral-7b-v0.3,ba_2018_oldman,0.00012001,1.0,0.9997599944024002
mistral-7b-v0.3,ba_2024_giamatti,0.00685,0.0,4.6922500000000003e-05
mistral-7b-v0.3,ba_2024_murphy,0.025500000000000002,1.0,0.94965025
mistral-7b-v0.3,bact_2017_huppert,0.0465,0.0,0.00216225
mistral-7b-v0.3,bact_2017_stone,0.0427,1.0,0.9164232900000001
mistral-7b-v0.3,bact_2018_mcdormand,0.604,1.0,0.156816
mistral-7b-v0.3,bact_2018_ronan,0.0003714,0.0,1.3793796e-07
mistral-7b-v0.3,bavaria_2018_csu_largest,0.0568,1.0,0.8896262400000001
mistral-7b-v0.3,bavaria_2018_greens_largest,0.0007350000000000001,0.0,5.402250000000001e-07
mistral-7b-v0.3,bd_2017_chazelle,0.11100000000000002,1.0,0.790321
mistral-7b-v0.3,bd_2017_jenkins,0.058050000000000004,0.0,0.0033698025000000005
mistral-7b-v0.3,bd_2018_deltoro,0.16799999999999998,1.0,0.6922240000000002
mistral-7b-v0.3,bd_2018_nolan,0.0,0.0,0.0
mistral-7b-v0.3,bd_2024_nolan,0.127,1.0,0.762129
mistral-7b-v0.3,bd_2024_scorsese,0.10400000000000001,0.0,0.010816000000000003
mistral-7b-v0.3,bitcoin_above_1k_eoy_2017,0.77758,1.0,0.04947065639999998
mistral-7b-v0.3,box_2017_15b,0.0528,0.0,0.0027878399999999998
mistral-7b-v0.3,box_2017_1b,0.513,1.0,0.237169
mistral-7b-v0.3,box_2017_2b,0.06405,0.0,0.0041024024999999995
mistral-7b-v0.3,box_2017_500m,0.513,1.0,0.237169
mistral-7b-v0.3,box_2018_15b,0.030701,1.0,0.939540551401
mistral-7b-v0.3,box_2018_1b,0.07250000000000001,1.0,0.86025625
mistral-7b-v0.3,box_2018_2b,0.000201,1.0,0.999598040401
mistral-7b-v0.3,box_2018_500m,0.194,1.0,0.6496360000000001
mistral-7b-v0.3,box_2024_15b,0.205,1.0,0.6320250000000001
mistral-7b-v0.3,box_2024_1b,0.5700000000000001,1.0,0.18489999999999995
mistral-7b-v0.3,box_2024_2b,0.20999999999999996,0.0,0.044099999999999986
mistral-7b-v0.3,box_2024_500m,0.6000000000000001,1.0,0.15999999999999992
mistral-7b-v0.3,bp_2017_lalaland,0.13697,0.0,0.018760780900000003
mistral-7b-v0.3,bp_2017_moonlight,0.0124534,1.0,0.9752482871715601
mistral-7b-v0.3,bp_2024_anatomy,0.05550000000000001,0.0,0.003080250000000001
mistral-7b-v0.3,bp_2024_oppenheimer,0.03824999999999999,1.0,0.9249630624999999
mistral-7b-v0.3,braz_2018_bolso,0.643,1.0,0.12744899999999998
mistral-7b-v0.3,braz_2018_haddad,0.195,0.0,0.038025
mistral-7b-v0.3,braz_2018_margin_15,0.43900000000000006,0.0,0.19272100000000006
mistral-7b-v0.3,braz_2018_margin_25,0.186,0.0,0.034596
mistral-7b-v0.3,braz_2018_margin_3,0.651,1.0,0.12180099999999998
mistral-7b-v0.3,braz_2018_margin_8,0.704,1.0,0.08761600000000003
mistral-7b-v0.3,cake_2018_baker,0.75,1.0,0.0625
mistral-7b-v0.3,cake_2018_couple,0.7889999999999999,0.0,0.6225209999999999
mistral-7b-v0.3,carp_2018_no_warrant,0.45499999999999996,0.0,0.20702499999999996
mistral-7b-v0.3,carp_2018_warrant,0.6755,1.0,0.10530025000000001
mistral-7b-v0.3,cat_legal_no_recognition,1.0,1.0,0.0
mistral-7b-v0.3,cat_legal_yes,0.0026210000000000005,0.0,6.8696410000000025e-06
mistral-7b-v0.3,conj_amlo_AND_bolso,1e-09,1.0,0.9999999980000001
mistral-7b-v0.3,conj_astros_AND_dodgers_ws_2017,0.043914787247189994,0.0,0.001928508538965961
mistral-7b-v0.3,conj_astros_AND_patriots,1.2002500000000002e-07,0.0,1.4406000625000005e-14
mistral-7b-v0.3,conj_bolso_AND_haddad,0.0,0.0,0.0
mistral-7b-v0.3,conj_btc20k_AND_dow25k,0.00223508267,0.0,4.99559454173433e-06
mistral-7b-v0.3,conj_btc5k_AND_eth500,0.26820000000000005,1.0,0.53553124
mistral-7b-v0.3,conj_btc_10k_AND_dow_25k_eoy_2017,0.0019471838335300001,0.0,3.791524881560587e-06
mistral-7b-v0.3,conj_btc_10k_AND_eth_500_eoy_2017,0.0531732,1.0,0.8964809891982399
mistral-7b-v0.3,conj_btc_20k_AND_eth_1k_eoy_2017,0.02160177604374,0.0,0.0004666367282438994
