model,event_id,forecast_mean,outcome,brier
phi-3.5-mini,ao_2018_cilic,0.27,0.0,0.0729
phi-3.5-mini,ao_2018_federer,0.275,1.0,0.525625
phi-3.5-mini,apple_1t_no,0.9249999999999998,0.0,0.8556249999999996
phi-3.5-mini,apple_1t_yes,0.28,1.0,0.5184
phi-3.5-mini,arg_2023_massa,0.31999999999999995,0.0,0.10239999999999996
phi-3.5-mini,arg_2023_milei,0.29500000000000004,1.0,0.49702499999999994
phi-3.5-mini,austrian_2017_hofer,0.23500000000000001,0.0,0.05522500000000001
phi-3.5-mini,austrian_2017_vdb,0.8299999999999998,1.0,0.02890000000000005
phi-3.5-mini,ba_2017_affleck,0.23500000000000001,1.0,0.585225
phi-3.5-mini,ba_2017_garfield,0.29500000000000004,0.0,0.08702500000000002
phi-3.5-mini,ba_2018_chalamet,0.29000000000000004,0.0,0.08410000000000002
phi-3.5-mini,ba_2018_oldman,0.167,1.0,0.693889
phi-3.5-mini,ba_2024_giamatti,0.20500000000000002,0.0,0.04202500000000001
phi-3.5-mini,ba_2024_murphy,0.2,1.0,0.6400000000000001
phi-3.5-mini,bact_2017_huppert,0.0007234499999999999,0.0,5.233799024999999e-07
phi-3.5-mini,bact_2017_stone,0.13499999999999998,1.0,0.748225
phi-3.5-mini,bact_2018_mcdormand,0.2273,1.0,0.5970652899999999
phi-3.5-mini,bact_2018_ronan,0.042,0.0,0.0017640000000000002
phi-3.5-mini,bavaria_2018_csu_largest,0.23500000000000004,1.0,0.5852249999999999
phi-3.5-mini,bavaria_2018_greens_largest,0.45499999999999996,0.0,0.20702499999999996
phi-3.5-mini,bd_2017_chazelle,0.85,1.0,0.022500000000000006
phi-3.5-mini,bd_2017_jenkins,0.21000000000000002,0.0,0.04410000000000001
phi-3.5-mini,bd_2018_deltoro,0.685,1.0,0.09922499999999997
phi-3.5-mini,bd_2018_nolan,0.24500000000000002,0.0,0.06002500000000001
phi-3.5-mini,bd_2024_nolan,0.265,1.0,0.540225
phi-3.5-mini,bd_2024_scorsese,0.25,0.0,0.0625
phi-3.5-mini,bitcoin_above_1k_eoy_2017,0.635,1.0,0.13322499999999998
phi-3.5-mini,box_2017_15b,0.765,0.0,0.585225
phi-3.5-mini,box_2017_1b,0.9,1.0,0.009999999999999995
phi-3.5-mini,box_2017_2b,0.6449999999999999,0.0,0.41602499999999987
phi-3.5-mini,box_2017_500m,0.8799999999999999,1.0,0.014400000000000026
phi-3.5-mini,box_2018_15b,0.2,1.0,0.6400000000000001
phi-3.5-mini,box_2018_1b,0.42000000000000004,1.0,0.3364
phi-3.5-mini,box_2018_2b,0.3073,1.0,0.47983328999999997
phi-3.5-mini,box_2018_500m,0.915,1.0,0.007224999999999994
phi-3.5-mini,box_2024_15b,0.30000000000000004,1.0,0.48999999999999994
phi-3.5-mini,box_2024_1b,0.3222222222222222,1.0,0.45938271604938274
phi-3.5-mini,box_2024_2b,0.30999999999999994,0.0,0.09609999999999996
phi-3.5-mini,box_2024_500m,0.375,1.0,0.390625
phi-3.5-mini,bp_2017_lalaland,0.0,0.0,0.0
phi-3.5-mini,bp_2017_moonlight,0.0,1.0,1.0
phi-3.5-mini,bp_2024_anatomy,0.18,0.0,0.0324
phi-3.5-mini,bp_2024_oppenheimer,0.215,1.0,0.616225
phi-3.5-mini,braz_2018_bolso,0.7310000000000001,1.0,0.07236099999999995
