model,event_id,forecast_mean,outcome,brier
phi-4,dow_close_22k_eoy_2017,0.8316699999999999,1.0,0.02833498890000003
phi-4,dow_close_23k_eoy_2017,0.8657999999999999,1.0,0.018009640000000025
phi-4,dow_close_24k_eoy_2017,0.9344999999999999,1.0,0.0042902500000000145
phi-4,dow_close_25k_eoy_2017,0.8644000000000001,0.0,0.7471873600000001
phi-4,eth_above_1000_eoy_2017,0.881,0.0,0.776161
phi-4,eth_above_300_eoy_2017,0.8360573101839105,1.0,0.026877205544134537
phi-4,eth_above_500_eoy_2017,0.8400000000000001,1.0,0.025599999999999973
phi-4,eth_above_700_eoy_2017,0.897,1.0,0.010608999999999995
phi-4,german_2017_cdu,0.6607000000000001,1.0,0.11512448999999995
phi-4,german_2017_spd,0.0874,0.0,0.007638760000000001
phi-4,hurricane_atl_2017_atleast_10,0.8149999999999998,1.0,0.03422500000000006
phi-4,hurricane_atl_2017_atleast_13,0.7500000000000001,1.0,0.062499999999999944
phi-4,hurricane_atl_2017_atleast_16,0.685,1.0,0.09922499999999997
phi-4,hurricane_atl_2017_atleast_19,0.59,0.0,0.34809999999999997
phi-4,italian_2018_centerright,0.2815,1.0,0.51624225
phi-4,italian_2018_m5s,0.50765,0.0,0.25770852250000004
phi-4,nba_finals_2017_cavs,0.06887,0.0,0.0047430769000000005
phi-4,nba_finals_2017_warriors,0.7581,1.0,0.05851561
phi-4,nba_finals_2018_cavs,0.0931,0.0,0.008667610000000001
phi-4,nba_finals_2018_warriors,0.2244,1.0,0.6015553600000001
phi-4,nfl_mvp_2017_brady,0.8210000000000001,1.0,0.03204099999999998
phi-4,nfl_mvp_2017_other_qb,0.5543235294117647,0.0,0.3072745752595155
phi-4,nfl_mvp_2018_mahomes,0.9749000000000001,1.0,0.000630009999999995
phi-4,nfl_mvp_2018_other_qb,0.24752000000000002,0.0,0.06126615040000001
phi-4,nhl_2017_pens,0.50977,1.0,0.24032545290000004
phi-4,nhl_2017_preds,0.0376,0.0,0.00141376
phi-4,nhl_2018_caps,0.32036,1.0,0.4619105296
phi-4,nhl_2018_vgk,0.3885199999999999,0.0,0.15094779039999995
phi-4,oscar_bp_2018_shapeofwater,0.45,1.0,0.30250000000000005
phi-4,oscar_bp_2018_threebillboards,0.45,0.0,0.2025
phi-4,sb_lii_coin_eagles,0.5,1.0,0.25
phi-4,sb_lii_coin_pats,0.5,0.0,0.25
phi-4,ucl_final_2017_juve,0.13529000000000002,0.0,0.018303384100000007
phi-4,ucl_final_2017_real,0.7274999999999999,1.0,0.07425625000000004
phi-4,uk_snap_2017_con_majority,0.43999999999999995,0.0,0.19359999999999997
phi-4,uk_snap_2017_lab_majority,0.2907,0.0,0.08450649
phi-4,wc_final_2018_croatia,0.018550000000000004,0.0,0.00034410250000000016
phi-4,wc_final_2018_france,0.10548000000000002,1.0,0.8001660304
phi-4,wimbledon_2017_cilic,0.8546000000000001,0.0,0.7303411600000003
phi-4,wimbledon_2017_federer,0.906,1.0,0.008835999999999995
phi-4,wimbledon_2018_anderson,0.040400000000000005,0.0,0.0016321600000000003
phi-4,wimbledon_2018_djokovic,0.8562,1.0,0.02067844000000001
