model,event_id,forecast_mean,outcome,brier
qwen2.5-32b-awq,ao_2018_cilic,0.134,0.0,0.017956000000000003
qwen2.5-32b-awq,ao_2018_federer,0.6399999999999999,1.0,0.12960000000000008
qwen2.5-32b-awq,apple_1t_no,0.2,0.0,0.04000000000000001
qwen2.5-32b-awq,apple_1t_yes,0.9199999999999999,1.0,0.006400000000000012
qwen2.5-32b-awq,arg_2023_massa,0.6940000000000002,0.0,0.48163600000000023
qwen2.5-32b-awq,arg_2023_milei,0.537,1.0,0.21436899999999998
qwen2.5-32b-awq,austrian_2017_hofer,0.48,0.0,0.2304
qwen2.5-32b-awq,austrian_2017_vdb,0.86,1.0,0.019600000000000003
qwen2.5-32b-awq,ba_2017_affleck,0.1,1.0,0.81
qwen2.5-32b-awq,ba_2017_garfield,0.05700000000000001,0.0,0.003249000000000001
qwen2.5-32b-awq,ba_2018_chalamet,0.047,0.0,0.002209
qwen2.5-32b-awq,ba_2018_oldman,0.077,1.0,0.851929
qwen2.5-32b-awq,ba_2024_giamatti,0.097,0.0,0.009409
qwen2.5-32b-awq,ba_2024_murphy,0.06000000000000001,1.0,0.8835999999999999
qwen2.5-32b-awq,bact_2017_huppert,0.11000000000000001,0.0,0.012100000000000003
qwen2.5-32b-awq,bact_2017_stone,0.627,1.0,0.139129
qwen2.5-32b-awq,bact_2018_mcdormand,0.8,1.0,0.03999999999999998
qwen2.5-32b-awq,bact_2018_ronan,0.144,0.0,0.020735999999999997
qwen2.5-32b-awq,bavaria_2018_csu_largest,0.24,1.0,0.5776
qwen2.5-32b-awq,bavaria_2018_greens_largest,0.13999999999999999,0.0,0.019599999999999996
qwen2.5-32b-awq,bd_2017_chazelle,0.38500000000000006,1.0,0.378225
qwen2.5-32b-awq,bd_2017_jenkins,0.124,0.0,0.015375999999999999
qwen2.5-32b-awq,bd_2018_deltoro,0.06000000000000001,1.0,0.8835999999999999
qwen2.5-32b-awq,bd_2018_nolan,0.057000000000000016,0.0,0.003249000000000002
qwen2.5-32b-awq,bd_2024_nolan,0.23500000000000001,1.0,0.585225
qwen2.5-32b-awq,bd_2024_scorsese,0.22999999999999998,0.0,0.05289999999999999
