model,event_id,forecast_mean,outcome,brier
qwen2.5-7b,ao_2018_cilic,0.2,0.0,0.04000000000000001
qwen2.5-7b,ao_2018_federer,0.185,1.0,0.664225
qwen2.5-7b,apple_1t_no,0.9399999999999998,0.0,0.8835999999999997
qwen2.5-7b,apple_1t_yes,0.89,1.0,0.012099999999999998
qwen2.5-7b,arg_2023_massa,0.31,0.0,0.0961
qwen2.5-7b,arg_2023_milei,0.05,1.0,0.9025
qwen2.5-7b,austrian_2017_hofer,0.324,0.0,0.104976
qwen2.5-7b,austrian_2017_vdb,0.5250000000000001,1.0,0.22562499999999988
qwen2.5-7b,ba_2017_affleck,0.355,1.0,0.41602500000000003
qwen2.5-7b,ba_2017_garfield,0.095,0.0,0.009025
qwen2.5-7b,ba_2018_chalamet,0.9249999999999998,0.0,0.8556249999999996
qwen2.5-7b,ba_2018_oldman,0.59,1.0,0.16810000000000003
qwen2.5-7b,ba_2024_giamatti,0.05500000000000001,0.0,0.0030250000000000008
qwen2.5-7b,ba_2024_murphy,0.09000000000000001,1.0,0.8281000000000001
qwen2.5-7b,bact_2017_huppert,0.15,0.0,0.0225
qwen2.5-7b,bact_2017_stone,0.85,1.0,0.022500000000000006
qwen2.5-7b,bact_2018_mcdormand,0.9509999999999998,1.0,0.002401000000000015
qwen2.5-7b,bact_2018_ronan,0.645,0.0,0.41602500000000003
qwen2.5-7b,bavaria_2018_csu_largest,0.395,1.0,0.366025
qwen2.5-7b,bavaria_2018_greens_largest,0.22000000000000003,0.0,0.04840000000000001
qwen2.5-7b,bd_2017_chazelle,0.255,1.0,0.555025
qwen2.5-7b,bd_2017_jenkins,0.225,0.0,0.050625
qwen2.5-7b,bd_2018_deltoro,0.944,1.0,0.0031360000000000055
qwen2.5-7b,bd_2018_nolan,0.1,0.0,0.010000000000000002
qwen2.5-7b,bd_2024_nolan,0.11700000000000002,1.0,0.779689
qwen2.5-7b,bd_2024_scorsese,0.13499999999999998,0.0,0.018224999999999995
qwen2.5-7b,bitcoin_above_1k_eoy_2017,0.61,1.0,0.1521
qwen2.5-7b,box_2017_15b,0.76,0.0,0.5776
qwen2.5-7b,box_2017_1b,0.8299999999999998,1.0,0.02890000000000005
qwen2.5-7b,box_2017_2b,0.64,0.0,0.4096
qwen2.5-7b,box_2017_500m,0.7849999999999999,1.0,0.04622500000000004
qwen2.5-7b,box_2018_15b,0.795,1.0,0.042024999999999986
qwen2.5-7b,box_2018_1b,0.9099999999999999,1.0,0.008100000000000015
qwen2.5-7b,box_2018_2b,0.7999999999999999,1.0,0.04000000000000003
qwen2.5-7b,box_2018_500m,0.9299999999999999,1.0,0.0049000000000000085
qwen2.5-7b,box_2024_15b,0.8,1.0,0.03999999999999998
qwen2.5-7b,box_2024_1b,0.805,1.0,0.03802499999999998
qwen2.5-7b,box_2024_2b,0.765,0.0,0.585225
qwen2.5-7b,box_2024_500m,0.8379999999999999,1.0,0.026244000000000045
qwen2.5-7b,bp_2017_lalaland,0.33999999999999997,0.0,0.11559999999999998
qwen2.5-7b,bp_2017_moonlight,0.504,1.0,0.24601599999999998
qwen2.5-7b,bp_2024_anatomy,0.07500000000000001,0.0,0.0056250000000000015
qwen2.5-7b,bp_2024_oppenheimer,0.11500000000000002,1.0,0.7832250000000001
qwen2.5-7b,braz_2018_bolso,0.242,1.0,0.574564
qwen2.5-7b,braz_2018_haddad,0.09000000000000001,0.0,0.008100000000000001
qwen2.5-7b,braz_2018_margin_15,0.23499999999999996,0.0,0.05522499999999998
qwen2.5-7b,braz_2018_margin_25,0.48500000000000004,0.0,0.23522500000000005
qwen2.5-7b,braz_2018_margin_3,0.86,1.0,0.019600000000000003
qwen2.5-7b,braz_2018_margin_8,0.8640000000000001,1.0,0.01849599999999997
qwen2.5-7b,cake_2018_baker,0.236,1.0,0.583696
qwen2.5-7b,cake_2018_couple,0.4600000000000001,0.0,0.21160000000000007
qwen2.5-7b,carp_2018_no_warrant,0.9099999999999998,0.0,0.8280999999999996
qwen2.5-7b,carp_2018_warrant,0.908,1.0,0.008463999999999994
qwen2.5-7b,cat_legal_no_recognition,0.837,1.0,0.02656900000000001
qwen2.5-7b,cat_legal_yes,0.335,0.0,0.11222500000000002
qwen2.5-7b,conj_amlo_AND_bolso,0.0,1.0,1.0
qwen2.5-7b,conj_astros_AND_patriots,0.0,0.0,0.0
qwen2.5-7b,conj_bolso_AND_haddad,0.0,0.0,0.0
qwen2.5-7b,conj_btc20k_AND_dow25k,0.1,0.0,0.010000000000000002
qwen2.5-7b,conj_btc5k_AND_eth500,0.6499999999999999,1.0,0.12250000000000007
qwen2.5-7b,conj_comey_AND_mueller,0.8399999999999999,1.0,0.025600000000000046
qwen2.5-7b,conj_doug_AND_eagles,0.035,1.0,0.931225
qwen2.5-7b,conj_eclipse_AND_cassini,0.9649999999999999,1.0,0.00122500000000001
qwen2.5-7b,conj_eth1k_AND_btc20k,0.09000000000000001,0.0,0.008100000000000001
qwen2.5-7b,conj_eth500_AND_btc5k,0.08000000000000002,1.0,0.8463999999999998
qwen2.5-7b,conj_eth700_AND_btc10k,0.09000000000000001,1.0,0.8281000000000001
qwen2.5-7b,conj_federer17_AND_djok18,0.0,1.0,1.0
qwen2.5-7b,conj_france_wc_AND_eagles_sb_2018,0.0,1.0,1.0
qwen2.5-7b,conj_france_wc_AND_macron,0.0,1.0,1.0
qwen2.5-7b,conj_harvey_AND_irma,0.005,1.0,0.990025
qwen2.5-7b,conj_kim_AND_iran,0.095,1.0,0.819025
qwen2.5-7b,conj_liverpool_AND_real_ucl,0.0,0.0,0.0
qwen2.5-7b,conj_macron_AND_cdu_2017,0.095,1.0,0.819025
qwen2.5-7b,conj_macron_AND_pats,0.0,0.0,0.0
qwen2.5-7b,conj_milei_AND_trump2024,0.038,1.0,0.9254439999999999
qwen2.5-7b,conj_milei_AND_uk_labour,0.046,1.0,0.9101159999999999
qwen2.5-7b,conj_nk_AND_catalonia,0.22000000000000003,1.0,0.6084
qwen2.5-7b,conj_nk_AND_iran,0.03,1.0,0.9409
qwen2.5-7b,conj_tax_AND_doug,0.1,1.0,0.81
qwen2.5-7b,conj_tess_AND_kim,0.845,1.0,0.024025000000000008
qwen2.5-7b,conj_trump2024_AND_eo_signed_2017,0.08000000000000002,1.0,0.8463999999999998
qwen2.5-7b,conj_trump2024_AND_uk_labour,0.05,1.0,0.9025
qwen2.5-7b,conj_trump_AND_harris_2024,0.005,0.0,2.5e-05
qwen2.5-7b,conj_warriors_2017_AND_2018,0.015000000000000003,1.0,0.970225
qwen2.5-7b,cpi_2017_above_1,0.7849999999999999,1.0,0.04622500000000004
qwen2.5-7b,cpi_2017_above_2,0.5700000000000001,1.0,0.18489999999999995
qwen2.5-7b,cpi_2017_above_3,0.37,0.0,0.1369
qwen2.5-7b,cpi_2017_above_4,0.4,0.0,0.16000000000000003
qwen2.5-7b,czech_2017_ano,0.5479999999999999,1.0,0.20430400000000007
qwen2.5-7b,czech_2017_civic,0.315,0.0,0.09922500000000001
qwen2.5-7b,dow_close_20k_eoy_2017,0.835,1.0,0.027225000000000013
qwen2.5-7b,dow_close_22k_eoy_2017,0.82,1.0,0.03240000000000002
qwen2.5-7b,dow_close_23k_eoy_2017,0.825,1.0,0.030625000000000017
qwen2.5-7b,dow_close_24k_eoy_2017,0.8099999999999999,1.0,0.03610000000000002
qwen2.5-7b,dow_close_25k_eoy_2017,0.8649999999999999,0.0,0.7482249999999998
qwen2.5-7b,eagles_wins_atleast_1_2017,0.8979999999999999,1.0,0.01040400000000002
qwen2.5-7b,eth_above_1000_eoy_2017,0.2,0.0,0.04000000000000001
qwen2.5-7b,eth_above_200_eoy_2017,0.6599999999999999,1.0,0.11560000000000005
qwen2.5-7b,eth_above_300_eoy_2017,0.30000000000000004,1.0,0.48999999999999994
qwen2.5-7b,eth_above_500_eoy_2017,0.335,1.0,0.44222500000000003
qwen2.5-7b,eth_above_700_eoy_2017,0.35,1.0,0.42250000000000004
qwen2.5-7b,fo_2017_nadal,0.9199999999999997,1.0,0.006400000000000047
qwen2.5-7b,fo_2017_wawrinka,0.185,0.0,0.034225
qwen2.5-7b,fr_2024_nfp_seats,0.397,1.0,0.36360899999999996
qwen2.5-7b,fr_2024_rn_seats,0.16699999999999998,0.0,0.027888999999999994
qwen2.5-7b,fr_pres_2017_margin_10,0.953,1.0,0.002209000000000004
qwen2.5-7b,fr_pres_2017_margin_20,0.9399999999999998,1.0,0.00360000000000002
qwen2.5-7b,fr_pres_2017_margin_3,0.9269999999999998,1.0,0.0053290000000000256
qwen2.5-7b,fr_pres_2017_margin_35,0.943,0.0,0.889249
qwen2.5-7b,france_wc2018_advances_group,0.9499999999999998,1.0,0.0025000000000000157
qwen2.5-7b,ftse_8000_no,0.73,1.0,0.0729
qwen2.5-7b,ftse_8000_yes,0.615,0.0,0.378225
qwen2.5-7b,german_2017_cdu,0.59,1.0,0.16810000000000003
qwen2.5-7b,german_2017_spd,0.305,0.0,0.093025
qwen2.5-7b,hurricane_atl_2017_atleast_10,0.915,1.0,0.007224999999999994
qwen2.5-7b,hurricane_atl_2017_atleast_13,0.85,1.0,0.022500000000000006
qwen2.5-7b,hurricane_atl_2017_atleast_16,0.8700000000000001,1.0,0.01689999999999997
qwen2.5-7b,hurricane_atl_2017_atleast_19,0.8799999999999999,0.0,0.7743999999999999
qwen2.5-7b,italian_2018_centerright,0.45999999999999996,1.0,0.2916
qwen2.5-7b,italian_2018_m5s,0.13,0.0,0.016900000000000002
qwen2.5-7b,italy_qualifies_wc2018,0.86,0.0,0.7395999999999999
qwen2.5-7b,janus_2018_def,0.6130000000000001,0.0,0.37576900000000013
qwen2.5-7b,janus_2018_pl,0.8949999999999999,1.0,0.01102500000000002
qwen2.5-7b,kenya_2017_kenyatta,0.43,1.0,0.3249000000000001
