model,event_id,forecast_mean,outcome,brier
r1-distill-qwen-32b-awq,dow_close_22k_eoy_2017,0.5,1.0,0.25
r1-distill-qwen-32b-awq,dow_close_23k_eoy_2017,0.5,1.0,0.25
r1-distill-qwen-32b-awq,dow_close_24k_eoy_2017,0.5,1.0,0.25
r1-distill-qwen-32b-awq,dow_close_25k_eoy_2017,0.5,0.0,0.25
r1-distill-qwen-32b-awq,eth_above_1000_eoy_2017,0.5,0.0,0.25
r1-distill-qwen-32b-awq,eth_above_300_eoy_2017,0.5,1.0,0.25
r1-distill-qwen-32b-awq,eth_above_500_eoy_2017,0.5,1.0,0.25
r1-distill-qwen-32b-awq,eth_above_700_eoy_2017,0.5,1.0,0.25
r1-distill-qwen-32b-awq,german_2017_cdu,0.5,1.0,0.25
r1-distill-qwen-32b-awq,german_2017_spd,0.5,0.0,0.25
r1-distill-qwen-32b-awq,hurricane_atl_2017_atleast_10,0.065,1.0,0.8742250000000001
r1-distill-qwen-32b-awq,hurricane_atl_2017_atleast_13,0.07142857142857142,1.0,0.8622448979591837
r1-distill-qwen-32b-awq,hurricane_atl_2017_atleast_16,0.07142857142857144,1.0,0.8622448979591837
r1-distill-qwen-32b-awq,hurricane_atl_2017_atleast_19,0.07142857142857144,0.0,0.005102040816326532
r1-distill-qwen-32b-awq,italian_2018_centerright,0.5,1.0,0.25
r1-distill-qwen-32b-awq,italian_2018_m5s,0.5,0.0,0.25
r1-distill-qwen-32b-awq,nba_finals_2017_cavs,0.5,0.0,0.25
r1-distill-qwen-32b-awq,nba_finals_2017_warriors,0.5,1.0,0.25
r1-distill-qwen-32b-awq,nba_finals_2018_cavs,0.5,0.0,0.25
r1-distill-qwen-32b-awq,nba_finals_2018_warriors,0.5,1.0,0.25
r1-distill-qwen-32b-awq,nfl_mvp_2017_brady,0.5,1.0,0.25
r1-distill-qwen-32b-awq,nfl_mvp_2017_other_qb,0.5,0.0,0.25
r1-distill-qwen-32b-awq,nfl_mvp_2018_mahomes,0.5,1.0,0.25
r1-distill-qwen-32b-awq,nfl_mvp_2018_other_qb,0.5,0.0,0.25
r1-distill-qwen-32b-awq,nhl_2017_pens,0.5,1.0,0.25
r1-distill-qwen-32b-awq,nhl_2017_preds,0.5,0.0,0.25
r1-distill-qwen-32b-awq,nhl_2018_caps,0.5,1.0,0.25
r1-distill-qwen-32b-awq,nhl_2018_vgk,0.5,0.0,0.25
r1-distill-qwen-32b-awq,oscar_bp_2018_shapeofwater,0.5,1.0,0.25
r1-distill-qwen-32b-awq,oscar_bp_2018_threebillboards,0.5,0.0,0.25
r1-distill-qwen-32b-awq,sb_lii_coin_eagles,0.5,1.0,0.25
r1-distill-qwen-32b-awq,sb_lii_coin_pats,0.5,0.0,0.25
r1-distill-qwen-32b-awq,ucl_final_2017_juve,0.5,0.0,0.25
r1-distill-qwen-32b-awq,ucl_final_2017_real,0.5,1.0,0.25
r1-distill-qwen-32b-awq,uk_snap_2017_con_majority,0.5,0.0,0.25
r1-distill-qwen-32b-awq,uk_snap_2017_lab_majority,0.5,0.0,0.25
r1-distill-qwen-32b-awq,wc_final_2018_croatia,0.5,0.0,0.25
r1-distill-qwen-32b-awq,wc_final_2018_france,0.02,1.0,0.9603999999999999
r1-distill-qwen-32b-awq,wimbledon_2017_cilic,0.5,0.0,0.25
r1-distill-qwen-32b-awq,wimbledon_2017_federer,0.5,1.0,0.25
r1-distill-qwen-32b-awq,wimbledon_2018_anderson,0.5,0.0,0.25
r1-distill-qwen-32b-awq,wimbledon_2018_djokovic,0.5,1.0,0.25
