model,event_id,forecast_mean,outcome,brier
r1-distill-qwen-7b,ao_2018_cilic,0.5,0.0,0.25
r1-distill-qwen-7b,ao_2018_federer,0.5,1.0,0.25
r1-distill-qwen-7b,apple_1t_no,0.5,0.0,0.25
r1-distill-qwen-7b,apple_1t_yes,0.5,1.0,0.25
r1-distill-qwen-7b,arg_2023_massa,0.5,0.0,0.25
r1-distill-qwen-7b,arg_2023_milei,0.0,1.0,1.0
r1-distill-qwen-7b,austrian_2017_hofer,0.5,0.0,0.25
r1-distill-qwen-7b,austrian_2017_vdb,0.5,1.0,0.25
r1-distill-qwen-7b,ba_2017_affleck,0.5,1.0,0.25
r1-distill-qwen-7b,ba_2017_garfield,0.0,0.0,0.0
r1-distill-qwen-7b,ba_2018_chalamet,0.5,0.0,0.25
r1-distill-qwen-7b,ba_2018_oldman,0.5,1.0,0.25
r1-distill-qwen-7b,ba_2024_giamatti,0.5,0.0,0.25
r1-distill-qwen-7b,ba_2024_murphy,0.5,1.0,0.25
r1-distill-qwen-7b,bact_2017_huppert,0.5,0.0,0.25
r1-distill-qwen-7b,bact_2017_stone,0.5,1.0,0.25
r1-distill-qwen-7b,bact_2018_mcdormand,0.5,1.0,0.25
r1-distill-qwen-7b,bact_2018_ronan,0.5,0.0,0.25
r1-distill-qwen-7b,bavaria_2018_csu_largest,0.5,1.0,0.25
r1-distill-qwen-7b,bavaria_2018_greens_largest,0.5,0.0,0.25
r1-distill-qwen-7b,bd_2017_chazelle,0.5,1.0,0.25
r1-distill-qwen-7b,bd_2017_jenkins,0.5,0.0,0.25
r1-distill-qwen-7b,bd_2018_deltoro,0.5,1.0,0.25
r1-distill-qwen-7b,bd_2018_nolan,0.5,0.0,0.25
r1-distill-qwen-7b,bd_2024_nolan,0.5,1.0,0.25
r1-distill-qwen-7b,bd_2024_scorsese,0.5,0.0,0.25
r1-distill-qwen-7b,bitcoin_above_1k_eoy_2017,1.0,1.0,0.0
r1-distill-qwen-7b,box_2017_15b,0.5,0.0,0.25
r1-distill-qwen-7b,box_2017_1b,0.5,1.0,0.25
r1-distill-qwen-7b,box_2017_2b,0.5,0.0,0.25
r1-distill-qwen-7b,box_2017_500m,0.5,1.0,0.25
r1-distill-qwen-7b,box_2018_15b,0.5,1.0,0.25
r1-distill-qwen-7b,box_2018_1b,0.5,1.0,0.25
r1-distill-qwen-7b,box_2018_2b,0.5,1.0,0.25
r1-distill-qwen-7b,box_2018_500m,0.5,1.0,0.25
r1-distill-qwen-7b,box_2024_15b,0.5,1.0,0.25
r1-distill-qwen-7b,box_2024_1b,0.5,1.0,0.25
